Left_team_title;Moneybet_for_left_team;Score;Right_team_title;Moneybet_for_right_team;Winning_team_match_result;Hypothesis
 41 VP ;514638;   0 : 2   ; Nemiga 42 ;354667;Вторая команда;Гипотеза верна
 19 AVANGAR ;411023;   2 : 0   ; Nemiga 42 ;162244;Вторая команда;Гипотеза не верна
 61 Lazarus ;100763;   2 : 0   ; Riot Squad 108 ;21753;Первая команда;Гипотеза не верна
 47 Singularity ;433052;   0 : 2   ; New Identity 82 ;155653;Первая команда;Гипотеза не верна
 104 Rejected ;141419;   1 : 2   ; 9z 93 ;139364;Первая команда;Гипотеза верна
 133 Red Canids ;267910;   16 : 7   ; Redemption POA 138 ;195641;Вторая команда;Гипотеза верна
 140 Santos ;65243;   2 : 16   ; Isurus 73 ;236744;Вторая команда;Гипотеза не верна
 48 HAVU ;72220;   0 : 2   ; SJ Gaming 62 ;29976;Вторая команда;Гипотеза верна
 20 OpTic ;928505;   1 : 2   ; Heroic 15 ;926676;Вторая команда;Гипотеза верна
 42 Nemiga ;239395;   0 : 2   ; Copenhagen Flames 68 ;96353;Первая команда;Гипотеза верна
 15 Heroic ;1071359;   16 : 12   ; AVANGAR 19 ;953040;Вторая команда;Гипотеза верна
 69 Unicorns of Love ;126750;   0 : 2   ; forZe 22 ;426912;Первая команда;Гипотеза не верна
 20 OpTic ;886433;   16 : 13   ; GamerLegion 30 ;565596;Первая команда;Гипотеза верна
 39 Aristocracy ;714541;   2 : 0   ; Winstrike 40 ;310900;Вторая команда;Гипотеза не верна
 93 9z ;103709;   2 : 0   ; Sinisters null ;23648;Первая команда;Гипотеза верна
 120 Intic ;158984;   1 : 2   ; Latingamers 106 ;398029;Первая команда;Гипотеза верна
 43 AGO ;648457;   16 : 5   ; x-kom 46 ;583430;Первая команда;Гипотеза не верна
 58 Sharks ;383140;   9 : 16   ; Nemiga 42 ;870368;Первая команда;Гипотеза верна
 56 FrenchFrogs ;286301;   16 : 19   ; SJ Gaming 62 ;293217;Первая команда;Гипотеза верна
 51 Vega ;110246;   2 : 0   ; Sharks 58 ;161042;Вторая команда;Гипотеза верна
 39 Aristocracy ;430247;   2 : 1   ; Unique 70 ;121839;Первая команда;Гипотеза верна
 10 G2 ;946066;   1 : 3   ; Liquid 2 ;2957248;Первая команда;Гипотеза верна
 32 Tricked ;190430;   0 : 2   ; GamerLegion 30 ;104168;Вторая команда;Гипотеза верна
 39 Aristocracy ;161770;   2 : 0   ; Vega 51 ;55531;Первая команда;Гипотеза не верна
 30 GamerLegion ;160484;   2 : 0   ; Izako Boars 65 ;20984;Первая команда;Гипотеза верна
 32 Tricked ;353733;   2 : 0   ; PACT 72 ;101781;Первая команда;Гипотеза верна
 null Phoenix ;30170;   1 : 2   ; 7PM.female null ;51513;Первая команда;Гипотеза не верна
 58 Sharks ;104651;   0 : 2   ; Unique 70 ;76616;Вторая команда;Гипотеза не верна
 5 mousesports ;1500032;   0 : 2   ; Liquid 2 ;2644615;Первая команда;Гипотеза не верна
 null Dragons ;20569;   0 : 2   ; Movistar Riders 37 ;121703;Вторая команда;Гипотеза верна
 72 PACT ;66140;   2 : 0   ; Warriors 124 ;5955;Вторая команда;Гипотеза верна
 112 Dracarys ;7831;   1 : 2   ; Izako Boars 65 ;12397;Вторая команда;Гипотеза не верна
 65 Izako Boars ;31272;   16 : 6   ; AVEZ 110 ;14626;Первая команда;Гипотеза не верна
 124 Warriors ;4022;   16 : 6   ; HASZTASZ null ;1649;Первая команда;Гипотеза не верна
 null SILENT ;1939;   0 : 2   ; Red Instinct null ;4821;Первая команда;Гипотеза верна
 8 NRG ;1808908;   1 : 2   ; G2 10 ;2398882;Вторая команда;Гипотеза верна
 37 Movistar Riders ;88257;   2 : 1   ; Giants null ;38734;Вторая команда;Гипотеза не верна
 30 GamerLegion ;97173;   25 : 21   ; PACT 72 ;46983;Вторая команда;Гипотеза верна
 112 Dracarys ;35140;   7 : 16   ; Tricked 32 ;182572;Вторая команда;Гипотеза верна
 22 forZe ;215199;   2 : 0   ; cats null ;54354;Первая команда;Гипотеза верна
 null Berzerk ;32239;   0 : 2   ; Red Instinct null ;29100;Вторая команда;Гипотеза верна
 null HASZTASZ ;22081;   1 : 16   ; PACT 72 ;91126;Первая команда;Гипотеза не верна
 32 Tricked ;138329;   16 : 3   ; AVEZ 110 ;29942;Первая команда;Гипотеза верна
 null Dragons ;159658;   2 : 0   ; Mad Lions null ;92525;Вторая команда;Гипотеза не верна
 30 GamerLegion ;207808;   16 : 8   ; Warriors 124 ;37822;Первая команда;Гипотеза верна
 65 Izako Boars ;274498;   2 : 16   ; Dracarys 112 ;165994;Первая команда;Гипотеза верна
 90 Party Astronauts ;299253;   1 : 2   ; ATK 71 ;574948;Первая команда;Гипотеза не верна
 93 9z ;473688;   14 : 16   ; Malvinas 131 ;249411;Первая команда;Гипотеза верна
 106 Latingamers ;359017;   16 : 14   ; Furious 96 ;426807;Первая команда;Гипотеза верна
 25 Spirit ;202629;   2 : 1   ; Movistar Riders 37 ;152024;Вторая команда;Гипотеза верна
 1 Astralis ;2571877;   1 : 2   ; Liquid 2 ;1971773;Первая команда;Гипотеза верна
 52 DreamEaters ;223271;   1 : 2   ; Copenhagen Flames 68 ;150289;Первая команда;Гипотеза верна
 10 G2 ;1381004;   2 : 0   ; FaZe 12 ;1640455;Вторая команда;Гипотеза верна
 22 forZe ;301485;   2 : 1   ; Espada null ;30837;Первая команда;Гипотеза не верна
 39 Aristocracy ;519161;   0 : 2   ; Chaos (Sweden) 50 ;262707;Первая команда;Гипотеза верна
 71 ATK ;160508;   1 : 2   ; Singularity 47 ;510213;Первая команда;Гипотеза верна
 13 FURIA ;622439;   2 : 0   ; Party Astronauts 90 ;138492;Первая команда;Гипотеза не верна
 null ImmuNe ;7971;   2 : 0   ; Copenhagen Flames 68 ;51209;Вторая команда;Гипотеза не верна
 57 Nordavind ;150214;   2 : 0   ; cats null ;66220;Первая команда;Гипотеза не верна
 42 Nemiga ;33284;   2 : 0   ; Smoke Criminals null ;7437;Вторая команда;Гипотеза верна
 37 Movistar Riders ;162126;   1 : 2   ; Sprout 21 ;395522;Вторая команда;Гипотеза верна
 19 AVANGAR ;568548;   1 : 2   ; x-kom 46 ;199158;Вторая команда;Гипотеза не верна
 12 FaZe ;771120;   0 : 2   ; mousesports 5 ;1198279;Первая команда;Гипотеза не верна
 25 Spirit ;100175;   0 : 2   ; Vitality 4 ;315802;Первая команда;Гипотеза не верна
 17 mibr ;345166;   0 : 2   ; Liquid 2 ;707124;Первая команда;Гипотеза верна
 null AGF ;10360;   1 : 2   ; Copenhagen Flames 68 ;53296;Вторая команда;Гипотеза верна
 null STEPxHYDR ;58741;   1 : 2   ; ImmuNe null ;16419;Вторая команда;Гипотеза не верна
 46 x-kom ;441748;   6 : 16   ; Ancient 31 ;467641;Вторая команда;Гипотеза верна
 15 Heroic ;713276;   0 : 2   ; G2 10 ;763734;Вторая команда;Гипотеза верна
 8 NRG ;223396;   2 : 1   ; Astralis 1 ;1094366;Первая команда;Гипотеза верна
 41 VP ;84134;   0 : 2   ; forZe 22 ;167163;Вторая команда;Гипотеза верна
 17 mibr ;695718;   2 : 1   ; North 9 ;1155782;Первая команда;Гипотеза не верна
 2 Liquid ;788808;   2 : 1   ; HellRaisers 23 ;70468;Первая команда;Гипотеза верна
 132 ArkAngel ;185310;   2 : 1   ; AOES 116 ;243148;Вторая команда;Гипотеза не верна
 97 Beyond ;112783;   0 : 2   ; Maple null ;91751;Первая команда;Гипотеза верна
 92 The Quest ;36362;   0 : 2   ; Party Astronauts 90 ;46885;Первая команда;Гипотеза верна
 47 Singularity ;111880;   2 : 0   ; New Identity 82 ;72111;Первая команда;Гипотеза не верна
 13 FURIA ;572781;   2 : 1   ; TeamOne 60 ;123382;Первая команда;Гипотеза верна
 96 Furious ;21134;   7 : 16   ; 9z 93 ;57989;Первая команда;Гипотеза верна
 120 Intic ;22051;   5 : 16   ; Rejected 104 ;63801;Вторая команда;Гипотеза верна
 71 ATK ;215805;   2 : 0   ; Riot Squad 108 ;121960;Первая команда;Гипотеза верна
 109 Resistencia ;73643;   7 : 16   ; Sinisters null ;198104;Первая команда;Гипотеза верна
 57 Nordavind ;137607;   2 : 0   ; Espada null ;38266;Вторая команда;Гипотеза верна
 4 Vitality ;344901;   2 : 0   ; GamerLegion 30 ;97272;Первая команда;Гипотеза не верна
 43 AGO ;84137;   0 : 2   ; Tricked 32 ;191842;Первая команда;Гипотеза верна
 null BlueJays ;93822;   1 : 2   ; FATE null ;16758;Первая команда;Гипотеза верна
 21 Sprout ;288205;   2 : 0   ; Epsilon 49 ;65823;Первая команда;Гипотеза не верна
 11 CR4ZY ;250632;   0 : 2   ; Spirit 25 ;82245;Вторая команда;Гипотеза не верна
 null Esuba ;53723;   2 : 0   ; Gravity null ;11035;Первая команда;Гипотеза не верна
 37 Movistar Riders ;246145;   2 : 1   ; Chaos (Sweden) 50 ;123903;Вторая команда;Гипотеза верна
 23 HellRaisers ;318228;   0 : 2   ; mousesports 5 ;1309725;Вторая команда;Гипотеза верна
 null Budapest Five ;28360;   1 : 2   ; Bpro null ;60206;Вторая команда;Гипотеза не верна
 10 G2 ;597999;   2 : 0   ; Cloud9 old null ;142160;Первая команда;Гипотеза не верна
 9 North ;1099224;   1 : 2   ; FaZe 12 ;843173;Первая команда;Гипотеза не верна
 7 Fnatic ;382913;   1 : 2   ; Heroic 15 ;161977;Первая команда;Гипотеза верна
 null 24BHB ;25329;   0 : 2   ; Maple null ;72857;Вторая команда;Гипотеза верна
 36 Luminosity ;500090;   0 : 2   ; mibr 17 ;2198560;Вторая команда;Гипотеза не верна
 2 Liquid ;752544;   2 : 0   ; Tyloo 18 ;64797;Вторая команда;Гипотеза верна
 134 SHIFT ;181048;   0 : 2   ; AOES 116 ;139259;Вторая команда;Гипотеза верна
 null Maple ;261783;   2 : 0   ; VG.Anthrax null ;30154;Первая команда;Гипотеза верна
 null D13 ;39000;   0 : 2   ; AOES 116 ;86761;Вторая команда;Гипотеза верна
 131 Malvinas ;46928;   16 : 12   ; Latingamers 106 ;14084;Первая команда;Гипотеза не верна
 45 INTZ ;438345;   0 : 2   ; New Identity 82 ;227356;Первая команда;Гипотеза верна
 133 Red Canids ;1182; перенесён                                     ; paiN 84 ;30432;Вторая команда;Гипотеза не верна
 86 EOX ;7489;   14 : 16   ; Isurus 73 ;23744;Первая команда;Гипотеза верна
 140 Santos ;144458;   17 : 19   ; INTZ.Academy 141 ;137805;Первая команда;Гипотеза верна
 138 Redemption POA ;31421;   2 : 16   ; Inflames 105 ;85315;Первая команда;Гипотеза не верна
 15 Heroic ;270602;   0 : 2   ; Astralis 1 ;1731137;Первая команда;Гипотеза верна
 76 DETONA ;67797;   0 : 2   ; Cloud9 old null ;177933;Первая команда;Гипотеза верна
 22 forZe ;203622;   0 : 2   ; cats null ;47713;Вторая команда;Гипотеза верна
 null KOVA ;9947;   0 : 2   ; Nemiga 42 ;56926;Первая команда;Гипотеза верна
 52 DreamEaters ;179005;   2 : 1   ; OFFSET 100 ;112018;Первая команда;Гипотеза верна
 8 NRG ;1049263;   2 : 1   ; G2 10 ;727278;Первая команда;Гипотеза верна
 28 Grayhound ;103456;   0 : 2   ; Fnatic 7 ;356055;Первая команда;Гипотеза не верна
 5 mousesports ;1260498;   16 : 8   ; mibr 17 ;1020066;Вторая команда;Гипотеза не верна
 23 HellRaisers ;938035;   16 : 7   ; Luminosity 36 ;572879;Первая команда;Гипотеза не верна
 9 North ;701310;   16 : 13   ; Liquid 2 ;1265094;Вторая команда;Гипотеза верна
 12 FaZe ;808756;   16 : 12   ; Tyloo 18 ;272875;Вторая команда;Гипотеза верна
 15 Heroic ;664504;   16 : 8   ; DETONA 76 ;170338;Вторая команда;Гипотеза не верна
 1 Astralis ;1262170;   16 : 9   ; Cloud9 old null ;188949;Первая команда;Гипотеза не верна
 132 ArkAngel ;86157;   16 : 8   ; 24BHB null ;40308;Первая команда;Гипотеза не верна
 7 Fnatic ;986868;   12 : 16   ; NRG 8 ;855932;Первая команда;Гипотеза верна
 10 G2 ;944582;   16 : 13   ; Grayhound 28 ;436381;Вторая команда;Гипотеза верна
 97 Beyond ;422543;   16 : 13   ; SHIFT 134 ;200871;Вторая команда;Гипотеза не верна
 null VG.Anthrax ;85051;   9 : 16   ; 24BHB null ;208727;Вторая команда;Гипотеза верна
 null Maple ;232298;   12 : 16   ; ArkAngel 132 ;80473;Вторая команда;Гипотеза верна
 134 SHIFT ;71559;   19 : 15   ; AOES 116 ;90429;Первая команда;Гипотеза верна
 97 Beyond ;197436;   16 : 10   ; D13 null ;37128;Вторая команда;Гипотеза верна
 104 Rejected ;194015;   16 : 13   ; Sinisters null ;87288;Первая команда;Гипотеза не верна
 109 Resistencia ;204477;   7 : 16   ; Intic 120 ;225603;Первая команда;Гипотеза верна
 112 Dracarys ;20537;   0 : 2   ; Unique 70 ;61695;Вторая команда;Гипотеза не верна
 10 G2 ;391827;   0 : 2   ; Liquid 2 ;1098151;Первая команда;Гипотеза верна
 null FATE ;7978;   2 : 0   ; Bpro null ;20901;Первая команда;Гипотеза верна
 59 Syman ;64014;   0 : 2   ; Espada null ;30154;Первая команда;Гипотеза не верна
 20 OpTic ;1231997;   2 : 0   ; Ancient 31 ;1324843;Первая команда;Гипотеза верна
 94 GameAgents ;103042;   11 : 16   ; SJ Gaming 62 ;218803;Первая команда;Гипотеза верна
 null BlueJays ;22124;   2 : 0   ; Budapest Five null ;4662;Вторая команда;Гипотеза верна
 22 forZe ;270540;   1 : 2   ; Liquid 2 ;1703113;Первая команда;Гипотеза верна
 39 Aristocracy ;608228;   1 : 2   ; Ancient 31 ;658861;Первая команда;Гипотеза верна
 21 Sprout ;452006;   0 : 2   ; G2 10 ;494136;Вторая команда;Гипотеза верна
 20 OpTic ;1016380;   2 : 1   ; Tricked 32 ;423064;Первая команда;Гипотеза не верна
 92 The Quest ;192470;   16 : 2   ; Variance 123 ;121608;Первая команда;Гипотеза верна
 128 Ascent ;119339;   7 : 16   ; New Identity 82 ;239324;Первая команда;Гипотеза верна
 102 Bushido Boyz ;19315;   11 : 16   ; Bad News Bears 78 ;73510;Первая команда;Гипотеза не верна
 47 Singularity ;10749;   0 : 2   ; eUnited 29 ;20644;Вторая команда;Гипотеза не верна
 78 Bad News Bears ;194779;   12 : 16   ; Peeker's Advantage null ;77248;Первая команда;Гипотеза не верна
 null Prospects ;29121;   5 : 16   ; New Identity 82 ;189269;Вторая команда;Гипотеза верна
 29 eUnited ;54953;   2 : 0   ; Party Astronauts 90 ;11495;Вторая команда;Гипотеза верна
 47 Singularity ;157890;   2 : 0   ; ATK 71 ;82270;Вторая команда;Гипотеза не верна
 29 eUnited ;1459; отменен                                     ; ex-Zone 114 ;223;Первая команда;Гипотеза не верна
 82 New Identity ;236765;   1 : 2   ; TeamOne 60 ;387370;Первая команда;Гипотеза не верна
 44 EnVy ;951508;   2 : 1   ; absolute mad lads 122 ;75539;Первая команда;Гипотеза верна
 31 Ancient ;439097;   2 : 1   ; CR4ZY 11 ;844086;Вторая команда;Гипотеза верна
 27 Windigo ;997705;   2 : 0   ; GamerLegion 30 ;975347;Вторая команда;Гипотеза не верна
 48 HAVU ;233011;   14 : 16   ; pro100 55 ;165852;Вторая команда;Гипотеза верна
 19 AVANGAR ;498795;   0 : 2   ; Tricked 32 ;152531;Вторая команда;Гипотеза верна
 13 FURIA ;849952;   0 : 2   ; GamerLegion 30 ;285759;Первая команда;Гипотеза верна
 11 CR4ZY ;515899;   2 : 0   ; Chaos (Sweden) 50 ;95165;Вторая команда;Гипотеза верна
 null fish123 ;18792;   2 : 0   ; BuzzKill null ;4023;Первая команда;Гипотеза не верна
 27 Windigo ;346499;   2 : 1   ; VP 41 ;309799;Первая команда;Гипотеза верна
 null BuzzKill ;12468;   2 : 0   ; DarkSpawn null ;52081;Вторая команда;Гипотеза не верна
 40 Winstrike ;311635;   1 : 2   ; Tricked 32 ;518594;Первая команда;Гипотеза верна
 87 Genuine ;157753;   1 : 3   ; Order 35 ;388154;Первая команда;Гипотеза верна
 92 The Quest ;134119;   16 : 5   ; Bushido Boyz 102 ;45524;Первая команда;Гипотеза не верна
 47 Singularity ;141683;   2 : 1   ; Thunder Logic 118 ;28141;Первая команда;Гипотеза верна
 114 ex-Zone ;5355;   2 : 1   ; Party Astronauts 90 ;10148;Первая команда;Гипотеза верна
 71 ATK ;23569;   2 : 0   ; Variance 123 ;5062;Вторая команда;Гипотеза верна
 29 eUnited ;8057;   2 : 0   ; Bushido Boyz 102 ;1921;Первая команда;Гипотеза верна
 123 Variance ;14695;   2 : 0   ; Big Frames null ;4758;Первая команда;Гипотеза верна
 71 ATK ;2472;   2 : 0   ; Holo null ;944;Вторая команда;Гипотеза верна
 118 Thunder Logic ;26747;   2 : 1   ; LiviD 121 ;13390;Первая команда;Гипотеза не верна
 114 ex-Zone ;5095;   2 : 0   ; Front null ;1864;Первая команда;Гипотеза верна
 90 Party Astronauts ;21121;   2 : 1   ; Good Game PR null ;6193;Первая команда;Гипотеза верна
 102 Bushido Boyz ;17328;   2 : 0   ; Prospects null ;4230;Первая команда;Гипотеза не верна
 29 eUnited ;237537;   2 : 0   ; Hentai Heroes null ;29069;Вторая команда;Гипотеза не верна
 61 Lazarus ;605033;   2 : 0   ; Lowkey null ;45075;Первая команда;Гипотеза не верна
 78 Bad News Bears ;586413;   16 : 3   ; Prospects null ;74680;Вторая команда;Гипотеза верна
 10 G2 ;1056279;   2 : 1   ; HellRaisers 23 ;535220;Вторая команда;Гипотеза верна
 84 paiN ;11392;   3 : 0   ; Rejected 104 ;2932;Вторая команда;Гипотеза не верна
 31 Ancient ;1718041;   10 : 16   ; OpTic 20 ;1420784;Первая команда;Гипотеза не верна
 30 GamerLegion ;255971;   2 : 1   ; OFFSET 100 ;61793;Первая команда;Гипотеза не верна
 19 AVANGAR ;1172785;   14 : 16   ; Aristocracy 39 ;950229;Первая команда;Гипотеза верна
 null Dark Tigers ;15142;   0 : 2   ; Universe null ;8016;Вторая команда;Гипотеза верна
 null Defusekids ;2049;   2 : 0   ; mCon null ;1253;Вторая команда;Гипотеза не верна
 25 Spirit ;89617;   0 : 2   ; Liquid 2 ;750838;Вторая команда;Гипотеза верна
 20 OpTic ;871133;   16 : 12   ; Chaos (Sweden) 50 ;453896;Вторая команда;Гипотеза верна
 65 Izako Boars ;29572;   14 : 16   ; Sprout 21 ;209488;Первая команда;Гипотеза верна
 null 5balls ;103636; отменен                                     ; Mock-it null ;86613;Вторая команда;Гипотеза верна
 24 BIG ;507379;   0 : 2   ; VP 41 ;196618;Первая команда;Гипотеза не верна
 32 Tricked ;852204;   5 : 16   ; Aristocracy 39 ;1039629;Первая команда;Гипотеза верна
 65 Izako Boars ;337904;   11 : 16   ; x-kom 46 ;411171;Вторая команда;Гипотеза не верна
 null mCon ;34876;   2 : 0   ; Asterion null ;27774;Первая команда;Гипотеза верна
 11 CR4ZY ;1185729;   12 : 16   ; Ancient 31 ;511773;Первая команда;Гипотеза верна
 null Defusekids ;48601;   2 : 0   ; Aetas x Strijders null ;8209;Первая команда;Гипотеза не верна
 19 AVANGAR ;1091141;   16 : 14   ; Winstrike 40 ;429562;Первая команда;Гипотеза верна
 100 OFFSET ;55778;   2 : 0   ; GTZ-Bulls null ;21775;Первая команда;Гипотеза верна
 null 5balls ;86537;   0 : 2   ; Unique 70 ;239741;Вторая команда;Гипотеза верна
 38 Chiefs ;101296;   0 : 2   ; Order 35 ;122466;Первая команда;Гипотеза верна
 35 Order ;222386;   2 : 0   ; Fighting 4 Freedom null ;19027;Первая команда;Гипотеза верна
 47 Singularity ;303064;   2 : 1   ; EnVy 44 ;152955;Вторая команда;Гипотеза верна
 102 Bushido Boyz ;18077;   16 : 14   ; Peeker's Advantage null ;30912;Первая команда;Гипотеза не верна
 38 Chiefs ;196728;   0 : 2   ; Genuine 87 ;24423;Первая команда;Гипотеза верна
 60 TeamOne ;108932;   2 : 1   ; Luminosity 36 ;223943;Первая команда;Гипотеза верна
 44 EnVy ;139894;   2 : 1   ; New Identity 82 ;116232;Первая команда;Гипотеза не верна
 71 ATK ;61889;   0 : 2   ; Singularity 47 ;160834;Вторая команда;Гипотеза не верна
 23 HellRaisers ;928404;   2 : 1   ; Movistar Riders 37 ;645797;Первая команда;Гипотеза не верна
 43 AGO ;295192;   16 : 10   ; GamerLegion 30 ;382638;Вторая команда;Гипотеза верна
 null Giants ;175331;   1 : 2   ; GTZ-Bulls null ;22183;Вторая команда;Гипотеза верна
 4 Vitality ;248201;   11 : 16   ; GamerLegion 30 ;149950;Вторая команда;Гипотеза не верна
 43 AGO ;112070;   11 : 16   ; Sprout 21 ;290803;Первая команда;Гипотеза не верна
 78 Bad News Bears ;12881;   0 : 2   ; TeamOne 60 ;19867;Первая команда;Гипотеза не верна
 92 The Quest ;22475;   0 : 2   ; Luminosity 36 ;55041;Первая команда;Гипотеза верна
 68 Copenhagen Flames ;160544;   2 : 0   ; Unique 70 ;99842;Вторая команда;Гипотеза верна
 54 ALTERNATE aTTaX ;114095;   2 : 16   ; Sprout 21 ;467358;Вторая команда;Гипотеза не верна
 22 forZe ;630728;   2 : 0   ; G2 10 ;989534;Вторая команда;Гипотеза верна
 100 OFFSET ;135512;   2 : 0   ; K1CK null ;25966;Вторая команда;Гипотеза верна
 46 x-kom ;276620;   22 : 19   ; ALTERNATE aTTaX 54 ;151716;Первая команда;Гипотеза верна
 10 G2 ;1862394;   16 : 13   ; Movistar Riders 37 ;684309;Вторая команда;Гипотеза верна
 21 Sprout ;183588;   16 : 3   ; Vitality 4 ;418434;Первая команда;Гипотеза не верна
 null NOTBAD ;14498;   1 : 2   ; Espada null ;33725;Первая команда;Гипотеза верна
 23 HellRaisers ;1558408;   5 : 16   ; forZe 22 ;970164;Вторая команда;Гипотеза не верна
 112 Dracarys ;235006;   2 : 0   ; Warthox 103 ;257154;Первая команда;Гипотеза верна
 128 Ascent ;29075;   16 : 13   ; ex-Zone 114 ;42491;Первая команда;Гипотеза верна
 47 Singularity ;39053;   1 : 2   ; NRG 8 ;273289;Первая команда;Гипотеза не верна
 29 eUnited ;129263;   2 : 0   ; New Identity 82 ;35308;Первая команда;Гипотеза верна
 118 Thunder Logic ;48284;   14 : 16   ; Ascent 128 ;75626;Первая команда;Гипотеза верна
 102 Bushido Boyz ;2306; перенесён                                     ; Bad News Bears 78 ;4166;Вторая команда;Гипотеза верна
 118 Thunder Logic ;81415;   16 : 6   ; Bushido Boyz 102 ;38740;Первая команда;Гипотеза верна
 13 FURIA ;471649;   2 : 0   ; TeamOne 60 ;74192;Первая команда;Гипотеза верна
 36 Luminosity ;448397;   1 : 2   ; Lazarus 61 ;440119;Вторая команда;Гипотеза верна
 21 Sprout ;1061522;   16 : 10   ; Epsilon 49 ;498104;Первая команда;Гипотеза верна
 78 Bad News Bears ;87242;   2 : 0   ; mythic null ;14459;Первая команда;Гипотеза верна
 92 The Quest ;16100;   2 : 0   ; Cloud9 old null ;87810;Первая команда;Гипотеза не верна
 63 expert ;41294;   13 : 16   ; HAVU 48 ;120293;Вторая команда;Гипотеза не верна
 33 NoChance ;108331;   0 : 2   ; Liquid 2 ;708535;Первая команда;Гипотеза не верна
 62 SJ Gaming ;97989;   2 : 0   ; KOVA null ;43289;Вторая команда;Гипотеза верна
 4 Vitality ;211784;   16 : 14   ; x-kom 46 ;47742;Вторая команда;Гипотеза верна
 49 Epsilon ;151591;   16 : 3   ; Izako Boars 65 ;44636;Вторая команда;Гипотеза не верна
 46 x-kom ;128095;   16 : 8   ; Chaos (Sweden) 50 ;130534;Первая команда;Гипотеза не верна
 11 CR4ZY ;239418;   16 : 8   ; Izako Boars 65 ;43667;Первая команда;Гипотеза не верна
 4 Vitality ;106741;   11 : 16   ; Movistar Riders 37 ;37244;Первая команда;Гипотеза верна
 15 Heroic ;169334;   2 : 0   ; AVANGAR 19 ;288405;Вторая команда;Гипотеза верна
 90 Party Astronauts ;18448;   1 : 2   ; EnVy 44 ;33282;Вторая команда;Гипотеза не верна
 null Peeker's Advantage ;17065;   1 : 2   ; ATK 71 ;43449;Вторая команда;Гипотеза верна
 46 x-kom ;5693;   16 : 11   ; expert 63 ;2640;Вторая команда;Гипотеза верна
 50 Chaos (Sweden) ;88202;   16 : 12   ; Izako Boars 65 ;41520;Первая команда;Гипотеза верна
 11 CR4ZY ;213966;   16 : 14   ; Vitality 4 ;316749;Вторая команда;Гипотеза верна
 54 ALTERNATE aTTaX ;139091;   22 : 18   ; pro100 55 ;133693;Первая команда;Гипотеза не верна
 42 Nemiga ;56362;   2 : 1   ; Tricked 32 ;140872;Первая команда;Гипотеза верна
 52 DreamEaters ;280166; перенесён                                     ; OFFSET 100 ;138491;Вторая команда;Гипотеза не верна
 21 Sprout ;755123;   2 : 0   ; Spirit 25 ;544919;Первая команда;Гипотеза верна
 48 HAVU ;92873;   2 : 0   ; Helsinki REDS null ;20411;Первая команда;Гипотеза верна
 11 CR4ZY ;252571;   16 : 4   ; x-kom 46 ;58971;Первая команда;Гипотеза не верна
 50 Chaos (Sweden) ;276783;   6 : 16   ; forZe 22 ;329640;Первая команда;Гипотеза верна
 43 AGO ;386611;   16 : 13   ; ALTERNATE aTTaX 54 ;331450;Первая команда;Гипотеза верна
 2 Liquid ;1539094;   17 : 19   ; Spirit 25 ;290637;Вторая команда;Гипотеза верна
 59 Syman ;50155;   2 : 0   ; NONAME null ;9222;Первая команда;Гипотеза верна
 21 Sprout ;744504;   16 : 10   ; NoChance 33 ;513301;Первая команда;Гипотеза верна
 42 Nemiga ;217847;   12 : 16   ; Nordavind 57 ;256437;Вторая команда;Гипотеза верна
 35 Order ;454128;   1 : 2   ; Chiefs 38 ;457686;Первая команда;Гипотеза не верна
 47 Singularity ;293818;   2 : 0   ; Bad News Bears 78 ;83888;Первая команда;Гипотеза верна
 8 NRG ;668884;   2 : 0   ; mythic null ;14955;Первая команда;Гипотеза верна
 null Cloud9 old ;825110;   1 : 2   ; New Identity 82 ;98812;Первая команда;Гипотеза не верна
 29 eUnited ;191720;   2 : 0   ; The Quest 92 ;38899;Вторая команда;Гипотеза не верна
 32 Tricked ;287416;   0 : 2   ; Ancient 31 ;870410;Первая команда;Гипотеза не верна
 36 Luminosity ;88452;   2 : 0   ; Party Astronauts 90 ;39797;Вторая команда;Гипотеза верна
 44 EnVy ;70460;   1 : 2   ; Lazarus 61 ;94119;Вторая команда;Гипотеза верна
 41 VP ;216069;   16 : 13   ; x-kom 46 ;132631;Вторая команда;Гипотеза не верна
 55 pro100 ;42183;   16 : 1   ; expert 63 ;17569;Первая команда;Гипотеза не верна
 22 forZe ;171261;   16 : 19   ; Movistar Riders 37 ;104917;Первая команда;Гипотеза не верна
 41 VP ;149670;   16 : 10   ; AGO 43 ;204345;Первая команда;Гипотеза верна
 68 Copenhagen Flames ;24311;   2 : 1   ; Nexus null ;8550;Вторая команда;Гипотеза верна
 55 pro100 ;83433;   22 : 18   ; Izako Boars 65 ;156482;Вторая команда;Гипотеза не верна
 54 ALTERNATE aTTaX ;16414;   11 : 16   ; forZe 22 ;38502;Вторая команда;Гипотеза верна
 48 HAVU ;156513;   17 : 19   ; VP 41 ;195208;Вторая команда;Гипотеза верна
 71 ATK ;53574;   1 : 2   ; TeamOne 60 ;49275;Первая команда;Гипотеза верна
 21 Sprout ;548321;   2 : 1   ; OpTic 20 ;921026;Вторая команда;Гипотеза верна
 13 FURIA ;183534; отменен                                     ; Peeker's Advantage null ;564;Первая команда;Гипотеза не верна
 63 expert ;27242;   5 : 16   ; Vitality 4 ;286550;Первая команда;Гипотеза верна
