Left_team_title;Moneybet_for_left_team;Score;Right_team_title;Moneybet_for_right_team;Winning_team_match_result;Hypothesis
 85 Fierce ;19122;   0 : 2   ; SJ Gaming 62 ;35031;Вторая команда;Гипотеза верна
 64 LDLC ;6019;   0 : 2   ; Tricked 32 ;18493;Вторая команда;Гипотеза верна
 19 AVANGAR ;85964;   2 : 0   ; Defusekids null ;6669;Вторая команда;Гипотеза не верна
 7 Fnatic ;985254;   0 : 2   ; mousesports 5 ;837313;Первая команда;Гипотеза не верна
 4 Vitality ;333570;   2 : 0   ; Renegades 16 ;78480;Первая команда;Гипотеза не верна
 15 Heroic ;348630;   0 : 2   ; Ence 6 ;623690;Первая команда;Гипотеза верна
 11 CR4ZY ;946614;   0 : 2   ; North 9 ;1076890;Вторая команда;Гипотеза верна
 62 SJ Gaming ;99780;   2 : 0   ; Lyngby Vikings 83 ;51560;Вторая команда;Гипотеза не верна
 81 Heretics ;47396;   0 : 2   ; Epsilon 49 ;46874;Вторая команда;Гипотеза верна
 45 INTZ ;897551;   2 : 0   ; Sharks 58 ;769561;Вторая команда;Гипотеза верна
 null PC419 ;4967;   2 : 0   ; Control null ;7961;Первая команда;Гипотеза верна
 null DINQ ;465; перенесён                                     ; StackEm null ;671;Вторая команда;Гипотеза верна
 8 NRG ;1292197;   2 : 0   ; FURIA 13 ;876072;Первая команда;Гипотеза не верна
 136 Team Reapers ;28508;   1 : 16   ; Isurus 73 ;56349;Первая команда;Гипотеза верна
 44 EnVy ;229224;   1 : 2   ; mibr 17 ;606024;Вторая команда;Гипотеза не верна
 2 Liquid ;816710;   2 : 1   ; G2 10 ;204338;Первая команда;Гипотеза верна
 33 NoChance ;123616;   1 : 2   ; mousesports 5 ;782678;Первая команда;Гипотеза верна
 49 Epsilon ;251671;   16 : 11   ; Unique 70 ;69116;Первая команда;Гипотеза не верна
 16 Renegades ;57730;   0 : 2   ; Ence 6 ;161609;Первая команда;Гипотеза верна
 4 Vitality ;487606;   0 : 2   ; Heroic 15 ;90163;Первая команда;Гипотеза верна
 9 North ;710701;   2 : 0   ; BIG 24 ;168358;Вторая команда;Гипотеза верна
 42 Nemiga ;196369;   7 : 16   ; Unique 70 ;60454;Первая команда;Гипотеза верна
 9 North ;89821; отменен                                     ; Ancient 31 ;16593;Первая команда;Гипотеза верна
 100 OFFSET ;18546;   2 : 0   ; eXploit null ;2531;Вторая команда;Гипотеза верна
 69 Unicorns of Love ;43840;   16 : 11   ; Epsilon 49 ;83622;Первая команда;Гипотеза не верна
 49 Epsilon ;45996;   16 : 0   ; Unique 70 ;19385;Первая команда;Гипотеза верна
 2 Liquid ;467303;   2 : 0   ; EnVy 44 ;24240;Первая команда;Гипотеза верна
 17 mibr ;149999;   0 : 2   ; G2 10 ;596389;Первая команда;Гипотеза не верна
 5 mousesports ;921579;   2 : 1   ; Sprout 21 ;190880;Вторая команда;Гипотеза не верна
 69 Unicorns of Love ;64570;   16 : 7   ; Nemiga 42 ;104022;Первая команда;Гипотеза не верна
 null EXILE ;440;   2 : 0   ; Tenerife Titans null ;479;Вторая команда;Гипотеза верна
 24 BIG ;464567;   2 : 1   ; Ancient 31 ;428443;Вторая команда;Гипотеза верна
 58 Sharks ;526978;   2 : 1   ; Singularity 47 ;340738;Вторая команда;Гипотеза не верна
 67 Ground Zero ;18239;   1 : 2   ; SYF 80 ;4662;Первая команда;Гипотеза не верна
 43 AGO ;52647;   2 : 0   ; AVEZ 110 ;24925;Первая команда;Гипотеза не верна
 36 Luminosity ;250394;   0 : 2   ; FURIA 13 ;758169;Первая команда;Гипотеза верна
 67 Ground Zero ;31267;   2 : 1   ; Genuine 87 ;35029;Вторая команда;Гипотеза верна
 13 FURIA ;572315;   2 : 0   ; eUnited 29 ;314379;Вторая команда;Гипотеза не верна
 60 TeamOne ;276455;   1 : 2   ; Singularity 47 ;412304;Вторая команда;Гипотеза верна
 null Dogs of War ;120369;   1 : 2   ; Just Swing null ;93801;Вторая команда;Гипотеза верна
 133 Red Canids ;66183;   6 : 16   ; paiN 84 ;139803;Первая команда;Гипотеза верна
 73 Isurus ;430334;   16 : 4   ; Keyd 88 ;176724;Вторая команда;Гипотеза верна
 84 paiN ;162634;   11 : 16   ; Bulldozer 139 ;36905;Первая команда;Гипотеза не верна
 68 Copenhagen Flames ;212525;   16 : 4   ; Syman 59 ;136661;Первая команда;Гипотеза верна
 9 North ;886623;   0 : 2   ; Fnatic 7 ;648659;Вторая команда;Гипотеза не верна
 72 PACT ;45458;   2 : 0   ; Tricked 32 ;259148;Первая команда;Гипотеза верна
 59 Syman ;228849;   16 : 12   ; Winstrike 40 ;396548;Первая команда;Гипотеза верна
 33 NoChance ;421227;   0 : 2   ; CR4ZY 11 ;1194226;Первая команда;Гипотеза не верна
 68 Copenhagen Flames ;183649;   11 : 16   ; Heretics 81 ;235767;Первая команда;Гипотеза верна
 7 Fnatic ;1692508;   16 : 7   ; Ancient 31 ;665621;Первая команда;Гипотеза верна
 11 CR4ZY ;635116;   16 : 13   ; Sprout 21 ;361779;Вторая команда;Гипотеза верна
 40 Winstrike ;215711;   8 : 16   ; Heretics 81 ;187219;Первая команда;Гипотеза верна
 9 North ;2058514;   16 : 6   ; BIG 24 ;752428;Первая команда;Гипотеза верна
 59 Syman ;55697;   6 : 16   ; Copenhagen Flames 68 ;115073;Вторая команда;Гипотеза верна
 5 mousesports ;602033;   14 : 16   ; NoChance 33 ;124711;Первая команда;Гипотеза верна
 45 INTZ ;848545;   2 : 1   ; Luminosity 36 ;1093845;Первая команда;Гипотеза верна
 8 NRG ;1204320;   2 : 0   ; Sharks 58 ;140424;Первая команда;Гипотеза не верна
 29 eUnited ;1020026;   11 : 16   ; Luminosity 36 ;527320;Вторая команда;Гипотеза не верна
 47 Singularity ;1204733;   8 : 16   ; Sharks 58 ;821195;Первая команда;Гипотеза не верна
 87 Genuine ;51549;   2 : 0   ; madlikewizards null ;15063;Вторая команда;Гипотеза верна
 13 FURIA ;743243;   13 : 16   ; INTZ 45 ;277384;Вторая команда;Гипотеза верна
 8 NRG ;598157;   16 : 5   ; TeamOne 60 ;99208;Вторая команда;Гипотеза не верна
 121 LiviD ;11771;   2 : 0   ; Big Frames null ;13378;Первая команда;Гипотеза не верна
 null Front ;1023;   1 : 2   ; Just Swing null ;1864;Первая команда;Гипотеза не верна
 null Dogs of War ;2086;   2 : 0   ; Good Game PR null ;1604;Первая команда;Гипотеза верна
 76 DETONA ;202898;   2 : 1   ; paiN 84 ;188793;Вторая команда;Гипотеза верна
 136 Team Reapers ;237509;   2 : 0   ; Keyd 88 ;314562;Вторая команда;Гипотеза не верна
 76 DETONA ;388968;   4 : 16   ; Isurus 73 ;517136;Вторая команда;Гипотеза верна
 133 Red Canids ;29092;   4 : 16   ; Isurus 73 ;69377;Вторая команда;Гипотеза верна
 86 EOX ;29890;   16 : 12   ; W7M 127 ;52956;Первая команда;Гипотеза верна
 140 Santos ;51764;   16 : 14   ; Redemption POA 138 ;80067;Вторая команда;Гипотеза верна
 88 Keyd ;77141;   9 : 16   ; Team Reapers 136 ;51220;Первая команда;Гипотеза не верна
 139 Bulldozer ;5500;   9 : 16   ; paiN 84 ;16866;Первая команда;Гипотеза верна
 76 DETONA ;26599;   16 : 7   ; INTZ.Academy 141 ;6473;Вторая команда;Гипотеза не верна
 43 AGO ;301541;   1 : 2   ; HAVU 48 ;446461;Первая команда;Гипотеза верна
 32 Tricked ;712848;   2 : 0   ; Nemiga 42 ;319059;Первая команда;Гипотеза верна
 72 PACT ;493750;   2 : 0   ; Fierce 85 ;540554;Первая команда;Гипотеза не верна
 32 Tricked ;1378659; перенесён                                     ; Illuminar 66 ;949531;Первая команда;Гипотеза верна
 57 Nordavind ;527740;   0 : 2   ; Illuminar 66 ;859707;Первая команда;Гипотеза верна
 null Fighting 4 Freedom ;26642;   0 : 2   ; Order 35 ;605330;Вторая команда;Гипотеза верна
 121 LiviD ;233987;   2 : 1   ; absolute mad lads 122 ;145248;Первая команда;Гипотеза верна
 84 paiN ;450314;   19 : 15   ; Keyd 88 ;538826;Первая команда;Гипотеза верна
 84 paiN ;559065;   16 : 8   ; INTZ.Academy 141 ;159071;Вторая команда;Гипотеза верна
 74 Vexed ;336490;   0 : 2   ; SJ Gaming 62 ;676764;Первая команда;Гипотеза верна
 83 Lyngby Vikings ;853714;   2 : 1   ; Gambit Youngsters 77 ;726766;Первая команда;Гипотеза верна
 66 Illuminar ;953994;   2 : 0   ; Chaos (Sweden) 50 ;1415580;Первая команда;Гипотеза не верна
 19 AVANGAR ;1170617;   1 : 2   ; Chaos (Sweden) 50 ;532612;Вторая команда;Гипотеза не верна
 2 Liquid ;2297830;   2 : 0   ; FaZe 12 ;560420;Первая команда;Гипотеза не верна
 17 mibr ;471833;   1 : 0   ; Renegades 16 ;645822;Вторая команда;Гипотеза верна
